enemyId,大境界,阶段,关卡,敌人类型,敌人名称,档案标题,完整立绘文件,缩略图文件,推荐尺寸,背景要求,提示词,状态
筑基_初期_青云剑墟_小Boss_断岳剑侍,筑基,初期,青云剑墟,小Boss,断岳剑侍,守着剑墟门户的剑侍,筑基_初期_青云剑墟_小Boss_断岳剑侍_full.png,筑基_初期_青云剑墟_小Boss_断岳剑侍_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基初期，断岳剑侍，守着剑墟门户的剑侍，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_初期_青云剑墟_大Boss_断岳剑主,筑基,初期,青云剑墟,大Boss,断岳剑主,剑墟深处未灭的旧剑主,筑基_初期_青云剑墟_大Boss_断岳剑主_full.png,筑基_初期_青云剑墟_大Boss_断岳剑主_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基初期，断岳剑主，剑墟深处未灭的旧剑主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_中期_剑阁回廊_普通怪_回廊剑魂,筑基,中期,剑阁回廊,普通怪,回廊剑魂,被旧剑意束缚的剑魂,筑基_中期_剑阁回廊_普通怪_回廊剑魂_full.png,筑基_中期_剑阁回廊_普通怪_回廊剑魂_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基中期，回廊剑魂，被旧剑意束缚的剑魂，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_中期_剑阁回廊_小Boss_锁廊剑将,筑基,中期,剑阁回廊,小Boss,锁廊剑将,巡走回廊的剑将残魂,筑基_中期_剑阁回廊_小Boss_锁廊剑将_full.png,筑基_中期_剑阁回廊_小Boss_锁廊剑将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基中期，锁廊剑将，巡走回廊的剑将残魂，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_中期_剑阁回廊_大Boss_断岳剑主,筑基,中期,剑阁回廊,大Boss,断岳剑主,回廊尽头执念不散的剑主,筑基_中期_剑阁回廊_大Boss_断岳剑主_full.png,筑基_中期_剑阁回廊_大Boss_断岳剑主_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基中期，断岳剑主，回廊尽头执念不散的剑主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_后期_万剑峰_普通怪_裂锋剑魄,筑基,后期,万剑峰,普通怪,裂锋剑魄,万剑峰中最凶的剑魄,筑基_后期_万剑峰_普通怪_裂锋剑魄_full.png,筑基_后期_万剑峰_普通怪_裂锋剑魄_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基后期，裂锋剑魄，万剑峰中最凶的剑魄，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_后期_万剑峰_小Boss_埋锋剑侯,筑基,后期,万剑峰,小Boss,埋锋剑侯,藏于峰顶石壁的剑侯,筑基_后期_万剑峰_小Boss_埋锋剑侯_full.png,筑基_后期_万剑峰_小Boss_埋锋剑侯_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基后期，埋锋剑侯，藏于峰顶石壁的剑侯，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
筑基_后期_万剑峰_大Boss_断岳剑主,筑基,后期,万剑峰,大Boss,断岳剑主,万剑峰中残意最盛的剑主,筑基_后期_万剑峰_大Boss_断岳剑主_full.png,筑基_后期_万剑峰_大Boss_断岳剑主_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，筑基后期，断岳剑主，万剑峰中残意最盛的剑主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_初期_火云洞口_普通怪_炽骨魔,结丹,初期,火云洞口,普通怪,炽骨魔,火云洞口游荡的骨魔,结丹_初期_火云洞口_普通怪_炽骨魔_full.png,结丹_初期_火云洞口_普通怪_炽骨魔_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹初期，炽骨魔，火云洞口游荡的骨魔，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_初期_火云洞口_小Boss_焚血魔将,结丹,初期,火云洞口,小Boss,焚血魔将,专擅扑杀的火骨魔将,结丹_初期_火云洞口_小Boss_焚血魔将_full.png,结丹_初期_火云洞口_小Boss_焚血魔将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹初期，焚血魔将，专擅扑杀的火骨魔将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_初期_火云洞口_大Boss_熔心魔君,结丹,初期,火云洞口,大Boss,熔心魔君,以熔火为心核的洞府魔首,结丹_初期_火云洞口_大Boss_熔心魔君_full.png,结丹_初期_火云洞口_大Boss_熔心魔君_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹初期，熔心魔君，以熔火为心核的洞府魔首，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_中期_熔火回廊_普通怪_熔火魔躯,结丹,中期,熔火回廊,普通怪,熔火魔躯,熔火之中淬成的魔躯,结丹_中期_熔火回廊_普通怪_熔火魔躯_full.png,结丹_中期_熔火回廊_普通怪_熔火魔躯_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹中期，熔火魔躯，熔火之中淬成的魔躯，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_中期_熔火回廊_小Boss_熔炉魔尉,结丹,中期,熔火回廊,小Boss,熔炉魔尉,守在回廊深处的熔炉魔尉,结丹_中期_熔火回廊_小Boss_熔炉魔尉_full.png,结丹_中期_熔火回廊_小Boss_熔炉魔尉_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹中期，熔炉魔尉，守在回廊深处的熔炉魔尉，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_中期_熔火回廊_大Boss_熔心魔君,结丹,中期,熔火回廊,大Boss,熔心魔君,火脉最深处走出的熔心魔君,结丹_中期_熔火回廊_大Boss_熔心魔君_full.png,结丹_中期_熔火回廊_大Boss_熔心魔君_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹中期，熔心魔君，火脉最深处走出的熔心魔君，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_后期_魔渊入口_普通怪_灼心炎魔,结丹,后期,魔渊入口,普通怪,灼心炎魔,接近魔渊后心火愈盛的炎魔,结丹_后期_魔渊入口_普通怪_灼心炎魔_full.png,结丹_后期_魔渊入口_普通怪_灼心炎魔_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹后期，灼心炎魔，接近魔渊后心火愈盛的炎魔，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_后期_魔渊入口_小Boss_渊火魔将,结丹,后期,魔渊入口,小Boss,渊火魔将,镇守魔渊入口的火魔将,结丹_后期_魔渊入口_小Boss_渊火魔将_full.png,结丹_后期_魔渊入口_小Boss_渊火魔将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹后期，渊火魔将，镇守魔渊入口的火魔将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
结丹_后期_魔渊入口_大Boss_熔心魔君,结丹,后期,魔渊入口,大Boss,熔心魔君,临近魔渊时完全觉醒的炎魔之君,结丹_后期_魔渊入口_大Boss_熔心魔君_full.png,结丹_后期_魔渊入口_大Boss_熔心魔君_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，结丹后期，熔心魔君，临近魔渊时完全觉醒的炎魔之君，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_初期_冰魄渊口_普通怪_霜牙雪魈,元婴,初期,冰魄渊口,普通怪,霜牙雪魈,潜伏冰层后的寒魈,元婴_初期_冰魄渊口_普通怪_霜牙雪魈_full.png,元婴_初期_冰魄渊口_普通怪_霜牙雪魈_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴初期，霜牙雪魈，潜伏冰层后的寒魈，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_初期_冰魄渊口_小Boss_寒魄魈将,元婴,初期,冰魄渊口,小Boss,寒魄魈将,掌控寒流的雪魈头目,元婴_初期_冰魄渊口_小Boss_寒魄魈将_full.png,元婴_初期_冰魄渊口_小Boss_寒魄魈将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴初期，寒魄魈将，掌控寒流的雪魈头目，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_初期_冰魄渊口_大Boss_寒魄雪主,元婴,初期,冰魄渊口,大Boss,寒魄雪主,凝聚极寒之息的雪魄首领,元婴_初期_冰魄渊口_大Boss_寒魄雪主_full.png,元婴_初期_冰魄渊口_大Boss_寒魄雪主_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴初期，寒魄雪主，凝聚极寒之息的雪魄首领，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_中期_玄冰长阶_普通怪_玄冰雪魈,元婴,中期,玄冰长阶,普通怪,玄冰雪魈,沿长阶巡视的冰魈,元婴_中期_玄冰长阶_普通怪_玄冰雪魈_full.png,元婴_中期_玄冰长阶_普通怪_玄冰雪魈_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴中期，玄冰雪魈，沿长阶巡视的冰魈，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_中期_玄冰长阶_小Boss_踏冰魈将,元婴,中期,玄冰长阶,小Boss,踏冰魈将,长阶之上最凶的踏冰魈将,元婴_中期_玄冰长阶_小Boss_踏冰魈将_full.png,元婴_中期_玄冰长阶_小Boss_踏冰魈将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴中期，踏冰魈将，长阶之上最凶的踏冰魈将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_中期_玄冰长阶_大Boss_寒魄雪主,元婴,中期,玄冰长阶,大Boss,寒魄雪主,玄冰长阶尽头的寒主,元婴_中期_玄冰长阶_大Boss_寒魄雪主_full.png,元婴_中期_玄冰长阶_大Boss_寒魄雪主_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴中期，寒魄雪主，玄冰长阶尽头的寒主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_后期_霜魂禁地_普通怪_霜魂妖魈,元婴,后期,霜魂禁地,普通怪,霜魂妖魈,霜魂禁地里凝出的雪魈,元婴_后期_霜魂禁地_普通怪_霜魂妖魈_full.png,元婴_后期_霜魂禁地_普通怪_霜魂妖魈_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴后期，霜魂妖魈，霜魂禁地里凝出的雪魈，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_后期_霜魂禁地_小Boss_禁地主魈,元婴,后期,霜魂禁地,小Boss,禁地主魈,看守禁地的主魈,元婴_后期_霜魂禁地_小Boss_禁地主魈_full.png,元婴_后期_霜魂禁地_小Boss_禁地主魈_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴后期，禁地主魈，看守禁地的主魈，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
元婴_后期_霜魂禁地_大Boss_寒魄雪主,元婴,后期,霜魂禁地,大Boss,寒魄雪主,霜魂禁地中真正的雪主,元婴_后期_霜魂禁地_大Boss_寒魄雪主_full.png,元婴_后期_霜魂禁地_大Boss_寒魄雪主_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，元婴后期，寒魄雪主，霜魂禁地中真正的雪主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_初期_雷泽外域_普通怪_雷羽玄鹏,化神,初期,雷泽外域,普通怪,雷羽玄鹏,在雷泽边缘俯冲的异鹏,化神_初期_雷泽外域_普通怪_雷羽玄鹏_full.png,化神_初期_雷泽外域_普通怪_雷羽玄鹏_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神初期，雷羽玄鹏，在雷泽边缘俯冲的异鹏，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_初期_雷泽外域_小Boss_逐雷鹏将,化神,初期,雷泽外域,小Boss,逐雷鹏将,率群盘旋的雷羽鹏将,化神_初期_雷泽外域_小Boss_逐雷鹏将_full.png,化神_初期_雷泽外域_小Boss_逐雷鹏将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神初期，逐雷鹏将，率群盘旋的雷羽鹏将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_初期_雷泽外域_大Boss_天雷鹏王,化神,初期,雷泽外域,大Boss,天雷鹏王,掌驭雷霆的泽域霸主,化神_初期_雷泽外域_大Boss_天雷鹏王_full.png,化神_初期_雷泽外域_大Boss_天雷鹏王_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神初期，天雷鹏王，掌驭雷霆的泽域霸主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_中期_雷泽心渊_普通怪_裂电玄鹏,化神,中期,雷泽心渊,普通怪,裂电玄鹏,心渊之中振翅生电的玄鹏,化神_中期_雷泽心渊_普通怪_裂电玄鹏_full.png,化神_中期_雷泽心渊_普通怪_裂电玄鹏_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神中期，裂电玄鹏，心渊之中振翅生电的玄鹏，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_中期_雷泽心渊_小Boss_雷泽鹏侯,化神,中期,雷泽心渊,小Boss,雷泽鹏侯,雷泽心渊中的鹏侯,化神_中期_雷泽心渊_小Boss_雷泽鹏侯_full.png,化神_中期_雷泽心渊_小Boss_雷泽鹏侯_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神中期，雷泽鹏侯，雷泽心渊中的鹏侯，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_中期_雷泽心渊_大Boss_天雷鹏王,化神,中期,雷泽心渊,大Boss,天雷鹏王,雷泽最深处的天雷之王,化神_中期_雷泽心渊_大Boss_天雷鹏王_full.png,化神_中期_雷泽心渊_大Boss_天雷鹏王_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神中期，天雷鹏王，雷泽最深处的天雷之王，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_后期_天雷祭坛_普通怪_祭坛雷鹏,化神,后期,天雷祭坛,普通怪,祭坛雷鹏,祭坛附近最狂暴的雷鹏,化神_后期_天雷祭坛_普通怪_祭坛雷鹏_full.png,化神_后期_天雷祭坛_普通怪_祭坛雷鹏_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神后期，祭坛雷鹏，祭坛附近最狂暴的雷鹏，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_后期_天雷祭坛_小Boss_祭坛镇鹏,化神,后期,天雷祭坛,小Boss,祭坛镇鹏,镇守祭坛前沿的雷鹏首,化神_后期_天雷祭坛_小Boss_祭坛镇鹏_full.png,化神_后期_天雷祭坛_小Boss_祭坛镇鹏_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神后期，祭坛镇鹏，镇守祭坛前沿的雷鹏首，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
化神_后期_天雷祭坛_大Boss_天雷鹏王,化神,后期,天雷祭坛,大Boss,天雷鹏王,受祭坛加持的雷鹏王,化神_后期_天雷祭坛_大Boss_天雷鹏王_full.png,化神_后期_天雷祭坛_大Boss_天雷鹏王_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，化神后期，天雷鹏王，受祭坛加持的雷鹏王，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼虚_初期_虚空裂隙_普通怪_裂隙魔眼,炼虚,初期,虚空裂隙,普通怪,裂隙魔眼,自裂隙中张开的巨眼,炼虚_初期_虚空裂隙_普通怪_裂隙魔眼_full.png,炼虚_初期_虚空裂隙_普通怪_裂隙魔眼_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼虚初期，裂隙魔眼，自裂隙中张开的巨眼，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼虚_初期_虚空裂隙_小Boss_虚窥魔将,炼虚,初期,虚空裂隙,小Boss,虚窥魔将,能撕裂视线的魔眼将,炼虚_初期_虚空裂隙_小Boss_虚窥魔将_full.png,炼虚_初期_虚空裂隙_小Boss_虚窥魔将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼虚初期，虚窥魔将，能撕裂视线的魔眼将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼虚_初期_虚空裂隙_大Boss_空冥主眼,炼虚,初期,虚空裂隙,大Boss,空冥主眼,深渊尽头的虚空瞳主,炼虚_初期_虚空裂隙_大Boss_空冥主眼_full.png,炼虚_初期_虚空裂隙_大Boss_空冥主眼_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼虚初期，空冥主眼，深渊尽头的虚空瞳主，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼虚_中期_折光回廊_普通怪_折光魔眼,炼虚,中期,折光回廊,普通怪,折光魔眼,在折光回廊游移的瞳魔,炼虚_中期_折光回廊_普通怪_折光魔眼_full.png,炼虚_中期_折光回廊_普通怪_折光魔眼_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼虚中期，折光魔眼，在折光回廊游移的瞳魔，类型为普通怪，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼虚_中期_折光回廊_小Boss_折界瞳将,炼虚,中期,折光回廊,小Boss,折界瞳将,操纵折界之力的瞳将,炼虚_中期_折光回廊_小Boss_折界瞳将_full.png,炼虚_中期_折光回廊_小Boss_折界瞳将_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼虚中期，折界瞳将，操纵折界之力的瞳将，类型为小Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
炼虚_中期_折光回廊_大Boss_空冥主眼,炼虚,中期,折光回廊,大Boss,空冥主眼,折光最深处的主眼,炼虚_中期_折光回廊_大Boss_空冥主眼_full.png,炼虚_中期_折光回廊_大Boss_空冥主眼_thumb.png,1024x1536,透明背景,中国修仙世界观妖物立绘，炼虚中期，空冥主眼，折光最深处的主眼，类型为大Boss，竖版单体角色立绘，正面或三分之四视角，细节清晰，适合微信小游戏战斗界面，透明背景，金棕冷暗色调，非Q版，非科幻。,待生成
