stageId,waveId,waveType,startSecond,endSecond,themeTag,pressureTag,spawnPattern,arenaHint,enemyGroupId,spawnIntervalSec,maxAliveNormal,maxAliveElite,eliteRef,bossRef,clearRewardTrigger,relatedWT,notes
LQ_EARLY_01,W13,wave,196,212,wolf_hunt,dense,side_compress,左右同步压缩,lq_early_01_w13_dense,1.95,23,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第13波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W14,wave,212,228,wolf_hunt,pre_elite_3,front_pressure,正面持续压入,lq_early_01_w14_pre_elite3,1.9,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第14波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W15,elite,228,246,wolf_hunt,elite_gate_3,cross_stream,第三精英交错压境,lq_early_01_w14_pre_elite3,1.85,18,1,elite_lq_early_01_03,,elite_3,WT-LR-02|WT-LR-07|WT-LR-08,第15波精英节点，清场后继续局内升级与三选一。
LQ_EARLY_01,W16,wave,246,262,wolf_hunt,overdrive,cross_stream,交错穿流入场,lq_early_01_w16_overdrive,1.8,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第16波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W17,wave,262,278,wolf_hunt,surge,side_compress,左右同步压缩,lq_early_01_w17_surge,1.75,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第17波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W18,wave,278,294,wolf_hunt,pin,front_pressure,正面持续压入,lq_early_01_w18_pin,1.7,27,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第18波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W19,wave,294,310,wolf_hunt,pre_boss,boss_guard,首领前守门压顶,lq_early_01_w19_pre_boss,1.65,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第19波常规敌潮，承担局内升级与资源产出。
LQ_EARLY_01,W20,boss,310,362,wolf_hunt,boss_showdown,boss_intro_center_showdown,先过场后首领入场,lq_early_01_boss_support,3.2,10,1,,boss_lq_early_01,boss_clear,WT-LR-02|WT-LR-09|WT-LR-10|WT-LR-11,第20波首领终局；首领为主目标，伴生敌潮只提供收束压力。
LQ_MID_01,W01,wave,0,16,wolf_hunt,opening,edge_ring,四周环绕入场,lq_mid_01_w01_open,2.55,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第1波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W02,wave,16,32,wolf_hunt,stable,edge_ring,四周环绕入场,lq_mid_01_w02_stable,2.5,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第2波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W03,wave,32,48,wolf_hunt,mix,cross_stream,交错穿流入场,lq_mid_01_w03_mix,2.45,15,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第3波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W04,wave,48,64,wolf_hunt,pre_elite_1,front_pressure,正面持续压入,lq_mid_01_w04_pre_elite,2.4,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第4波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W05,elite,64,82,wolf_hunt,elite_gate_1,front_pressure,第一精英正面压入,lq_mid_01_w04_pre_elite,2.35,14,1,elite_lq_mid_01_01,,elite_1,WT-LR-02|WT-LR-07|WT-LR-08,第5波精英节点，清场后继续局内升级与三选一。
LQ_MID_01,W06,wave,82,98,wolf_hunt,after_elite_1,side_compress,左右同步压缩,lq_mid_01_w06_after_elite,2.3,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第6波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W07,wave,98,114,wolf_hunt,cross,cross_stream,交错穿流入场,lq_mid_01_w07_cross,2.25,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第7波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W08,wave,114,130,wolf_hunt,range_mix,backline_mix,后场远程混入,lq_mid_01_w08_range,2.2,19,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第8波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W09,wave,130,146,wolf_hunt,pre_elite_2,front_pressure,正面持续压入,lq_mid_01_w09_pre_elite2,2.15,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第9波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W10,elite,146,164,wolf_hunt,elite_gate_2,side_compress,第二精英侧向压缩,lq_mid_01_w09_pre_elite2,2.1,16,1,elite_lq_mid_01_02,,elite_2,WT-LR-02|WT-LR-07|WT-LR-08,第10波精英节点，清场后继续局内升级与三选一。
LQ_MID_01,W11,wave,164,180,wolf_hunt,rebuild,edge_ring,四周环绕入场,lq_mid_01_w11_rebuild,2.05,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第11波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W12,wave,180,196,wolf_hunt,special,cross_stream,交错穿流入场,lq_mid_01_w12_special,2.0,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第12波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W13,wave,196,212,wolf_hunt,dense,side_compress,左右同步压缩,lq_mid_01_w13_dense,1.95,23,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第13波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W14,wave,212,228,wolf_hunt,pre_elite_3,front_pressure,正面持续压入,lq_mid_01_w14_pre_elite3,1.9,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第14波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W15,elite,228,246,wolf_hunt,elite_gate_3,cross_stream,第三精英交错压境,lq_mid_01_w14_pre_elite3,1.85,18,1,elite_lq_mid_01_03,,elite_3,WT-LR-02|WT-LR-07|WT-LR-08,第15波精英节点，清场后继续局内升级与三选一。
LQ_MID_01,W16,wave,246,262,wolf_hunt,overdrive,cross_stream,交错穿流入场,lq_mid_01_w16_overdrive,1.8,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第16波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W17,wave,262,278,wolf_hunt,surge,side_compress,左右同步压缩,lq_mid_01_w17_surge,1.75,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第17波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W18,wave,278,294,wolf_hunt,pin,front_pressure,正面持续压入,lq_mid_01_w18_pin,1.7,27,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第18波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W19,wave,294,310,wolf_hunt,pre_boss,boss_guard,首领前守门压顶,lq_mid_01_w19_pre_boss,1.65,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第19波常规敌潮，承担局内升级与资源产出。
LQ_MID_01,W20,boss,310,362,wolf_hunt,boss_showdown,boss_intro_center_showdown,先过场后首领入场,lq_mid_01_boss_support,3.2,10,1,,boss_lq_mid_01,boss_clear,WT-LR-02|WT-LR-09|WT-LR-10|WT-LR-11,第20波首领终局；首领为主目标，伴生敌潮只提供收束压力。
LQ_LATE_01,W01,wave,0,16,wolf_hunt,opening,edge_ring,四周环绕入场,lq_late_01_w01_open,2.55,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第1波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W02,wave,16,32,wolf_hunt,stable,edge_ring,四周环绕入场,lq_late_01_w02_stable,2.5,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第2波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W03,wave,32,48,wolf_hunt,mix,cross_stream,交错穿流入场,lq_late_01_w03_mix,2.45,15,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第3波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W04,wave,48,64,wolf_hunt,pre_elite_1,front_pressure,正面持续压入,lq_late_01_w04_pre_elite,2.4,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第4波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W05,elite,64,82,wolf_hunt,elite_gate_1,front_pressure,第一精英正面压入,lq_late_01_w04_pre_elite,2.35,14,1,elite_lq_late_01_01,,elite_1,WT-LR-02|WT-LR-07|WT-LR-08,第5波精英节点，清场后继续局内升级与三选一。
LQ_LATE_01,W06,wave,82,98,wolf_hunt,after_elite_1,side_compress,左右同步压缩,lq_late_01_w06_after_elite,2.3,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第6波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W07,wave,98,114,wolf_hunt,cross,cross_stream,交错穿流入场,lq_late_01_w07_cross,2.25,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第7波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W08,wave,114,130,wolf_hunt,range_mix,backline_mix,后场远程混入,lq_late_01_w08_range,2.2,19,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第8波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W09,wave,130,146,wolf_hunt,pre_elite_2,front_pressure,正面持续压入,lq_late_01_w09_pre_elite2,2.15,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第9波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W10,elite,146,164,wolf_hunt,elite_gate_2,side_compress,第二精英侧向压缩,lq_late_01_w09_pre_elite2,2.1,16,1,elite_lq_late_01_02,,elite_2,WT-LR-02|WT-LR-07|WT-LR-08,第10波精英节点，清场后继续局内升级与三选一。
LQ_LATE_01,W11,wave,164,180,wolf_hunt,rebuild,edge_ring,四周环绕入场,lq_late_01_w11_rebuild,2.05,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第11波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W12,wave,180,196,wolf_hunt,special,cross_stream,交错穿流入场,lq_late_01_w12_special,2.0,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第12波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W13,wave,196,212,wolf_hunt,dense,side_compress,左右同步压缩,lq_late_01_w13_dense,1.95,23,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第13波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W14,wave,212,228,wolf_hunt,pre_elite_3,front_pressure,正面持续压入,lq_late_01_w14_pre_elite3,1.9,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第14波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W15,elite,228,246,wolf_hunt,elite_gate_3,cross_stream,第三精英交错压境,lq_late_01_w14_pre_elite3,1.85,18,1,elite_lq_late_01_03,,elite_3,WT-LR-02|WT-LR-07|WT-LR-08,第15波精英节点，清场后继续局内升级与三选一。
LQ_LATE_01,W16,wave,246,262,wolf_hunt,overdrive,cross_stream,交错穿流入场,lq_late_01_w16_overdrive,1.8,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第16波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W17,wave,262,278,wolf_hunt,surge,side_compress,左右同步压缩,lq_late_01_w17_surge,1.75,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第17波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W18,wave,278,294,wolf_hunt,pin,front_pressure,正面持续压入,lq_late_01_w18_pin,1.7,27,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第18波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W19,wave,294,310,wolf_hunt,pre_boss,boss_guard,首领前守门压顶,lq_late_01_w19_pre_boss,1.65,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第19波常规敌潮，承担局内升级与资源产出。
LQ_LATE_01,W20,boss,310,362,wolf_hunt,boss_showdown,boss_intro_center_showdown,先过场后首领入场,lq_late_01_boss_support,3.2,10,1,,boss_lq_late_01,boss_clear,WT-LR-02|WT-LR-09|WT-LR-10|WT-LR-11,第20波首领终局；首领为主目标，伴生敌潮只提供收束压力。
ZJ_EARLY_01,W01,wave,0,16,sword_pressure,opening,edge_ring,四周环绕入场,zj_early_01_w01_open,2.55,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第1波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W02,wave,16,32,sword_pressure,stable,edge_ring,四周环绕入场,zj_early_01_w02_stable,2.5,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第2波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W03,wave,32,48,sword_pressure,mix,cross_stream,交错穿流入场,zj_early_01_w03_mix,2.45,15,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第3波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W04,wave,48,64,sword_pressure,pre_elite_1,front_pressure,正面持续压入,zj_early_01_w04_pre_elite,2.4,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第4波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W05,elite,64,82,sword_pressure,elite_gate_1,front_pressure,第一精英正面压入,zj_early_01_w04_pre_elite,2.35,14,1,elite_zj_early_01_01,,elite_1,WT-LR-02|WT-LR-07|WT-LR-08,第5波精英节点，清场后继续局内升级与三选一。
ZJ_EARLY_01,W06,wave,82,98,sword_pressure,after_elite_1,side_compress,左右同步压缩,zj_early_01_w06_after_elite,2.3,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第6波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W07,wave,98,114,sword_pressure,cross,cross_stream,交错穿流入场,zj_early_01_w07_cross,2.25,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第7波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W08,wave,114,130,sword_pressure,range_mix,backline_mix,后场远程混入,zj_early_01_w08_range,2.2,19,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第8波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W09,wave,130,146,sword_pressure,pre_elite_2,front_pressure,正面持续压入,zj_early_01_w09_pre_elite2,2.15,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第9波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W10,elite,146,164,sword_pressure,elite_gate_2,side_compress,第二精英侧向压缩,zj_early_01_w09_pre_elite2,2.1,16,1,elite_zj_early_01_02,,elite_2,WT-LR-02|WT-LR-07|WT-LR-08,第10波精英节点，清场后继续局内升级与三选一。
ZJ_EARLY_01,W11,wave,164,180,sword_pressure,rebuild,edge_ring,四周环绕入场,zj_early_01_w11_rebuild,2.05,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第11波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W12,wave,180,196,sword_pressure,special,cross_stream,交错穿流入场,zj_early_01_w12_special,2.0,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第12波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W13,wave,196,212,sword_pressure,dense,side_compress,左右同步压缩,zj_early_01_w13_dense,1.95,23,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第13波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W14,wave,212,228,sword_pressure,pre_elite_3,front_pressure,正面持续压入,zj_early_01_w14_pre_elite3,1.9,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第14波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W15,elite,228,246,sword_pressure,elite_gate_3,cross_stream,第三精英交错压境,zj_early_01_w14_pre_elite3,1.85,18,1,elite_zj_early_01_03,,elite_3,WT-LR-02|WT-LR-07|WT-LR-08,第15波精英节点，清场后继续局内升级与三选一。
ZJ_EARLY_01,W16,wave,246,262,sword_pressure,overdrive,cross_stream,交错穿流入场,zj_early_01_w16_overdrive,1.8,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第16波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W17,wave,262,278,sword_pressure,surge,side_compress,左右同步压缩,zj_early_01_w17_surge,1.75,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第17波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W18,wave,278,294,sword_pressure,pin,front_pressure,正面持续压入,zj_early_01_w18_pin,1.7,27,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第18波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W19,wave,294,310,sword_pressure,pre_boss,boss_guard,首领前守门压顶,zj_early_01_w19_pre_boss,1.65,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第19波常规敌潮，承担局内升级与资源产出。
ZJ_EARLY_01,W20,boss,310,362,sword_pressure,boss_showdown,boss_intro_center_showdown,先过场后首领入场,zj_early_01_boss_support,3.2,10,1,,boss_zj_early_01,boss_clear,WT-LR-02|WT-LR-09|WT-LR-10|WT-LR-11,第20波首领终局；首领为主目标，伴生敌潮只提供收束压力。
ZJ_MID_01,W01,wave,0,16,sword_pressure,opening,edge_ring,四周环绕入场,zj_mid_01_w01_open,2.55,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第1波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W02,wave,16,32,sword_pressure,stable,edge_ring,四周环绕入场,zj_mid_01_w02_stable,2.5,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第2波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W03,wave,32,48,sword_pressure,mix,cross_stream,交错穿流入场,zj_mid_01_w03_mix,2.45,15,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第3波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W04,wave,48,64,sword_pressure,pre_elite_1,front_pressure,正面持续压入,zj_mid_01_w04_pre_elite,2.4,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第4波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W05,elite,64,82,sword_pressure,elite_gate_1,front_pressure,第一精英正面压入,zj_mid_01_w04_pre_elite,2.35,14,1,elite_zj_mid_01_01,,elite_1,WT-LR-02|WT-LR-07|WT-LR-08,第5波精英节点，清场后继续局内升级与三选一。
ZJ_MID_01,W06,wave,82,98,sword_pressure,after_elite_1,side_compress,左右同步压缩,zj_mid_01_w06_after_elite,2.3,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第6波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W07,wave,98,114,sword_pressure,cross,cross_stream,交错穿流入场,zj_mid_01_w07_cross,2.25,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第7波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W08,wave,114,130,sword_pressure,range_mix,backline_mix,后场远程混入,zj_mid_01_w08_range,2.2,19,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第8波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W09,wave,130,146,sword_pressure,pre_elite_2,front_pressure,正面持续压入,zj_mid_01_w09_pre_elite2,2.15,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第9波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W10,elite,146,164,sword_pressure,elite_gate_2,side_compress,第二精英侧向压缩,zj_mid_01_w09_pre_elite2,2.1,16,1,elite_zj_mid_01_02,,elite_2,WT-LR-02|WT-LR-07|WT-LR-08,第10波精英节点，清场后继续局内升级与三选一。
ZJ_MID_01,W11,wave,164,180,sword_pressure,rebuild,edge_ring,四周环绕入场,zj_mid_01_w11_rebuild,2.05,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第11波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W12,wave,180,196,sword_pressure,special,cross_stream,交错穿流入场,zj_mid_01_w12_special,2.0,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第12波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W13,wave,196,212,sword_pressure,dense,side_compress,左右同步压缩,zj_mid_01_w13_dense,1.95,23,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第13波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W14,wave,212,228,sword_pressure,pre_elite_3,front_pressure,正面持续压入,zj_mid_01_w14_pre_elite3,1.9,22,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第14波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W15,elite,228,246,sword_pressure,elite_gate_3,cross_stream,第三精英交错压境,zj_mid_01_w14_pre_elite3,1.85,18,1,elite_zj_mid_01_03,,elite_3,WT-LR-02|WT-LR-07|WT-LR-08,第15波精英节点，清场后继续局内升级与三选一。
ZJ_MID_01,W16,wave,246,262,sword_pressure,overdrive,cross_stream,交错穿流入场,zj_mid_01_w16_overdrive,1.8,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第16波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W17,wave,262,278,sword_pressure,surge,side_compress,左右同步压缩,zj_mid_01_w17_surge,1.75,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第17波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W18,wave,278,294,sword_pressure,pin,front_pressure,正面持续压入,zj_mid_01_w18_pin,1.7,27,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第18波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W19,wave,294,310,sword_pressure,pre_boss,boss_guard,首领前守门压顶,zj_mid_01_w19_pre_boss,1.65,26,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第19波常规敌潮，承担局内升级与资源产出。
ZJ_MID_01,W20,boss,310,362,sword_pressure,boss_showdown,boss_intro_center_showdown,先过场后首领入场,zj_mid_01_boss_support,3.2,10,1,,boss_zj_mid_01,boss_clear,WT-LR-02|WT-LR-09|WT-LR-10|WT-LR-11,第20波首领终局；首领为主目标，伴生敌潮只提供收束压力。
ZJ_LATE_01,W01,wave,0,16,sword_pressure,opening,edge_ring,四周环绕入场,zj_late_01_w01_open,2.55,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第1波常规敌潮，承担局内升级与资源产出。
ZJ_LATE_01,W02,wave,16,32,sword_pressure,stable,edge_ring,四周环绕入场,zj_late_01_w02_stable,2.5,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第2波常规敌潮，承担局内升级与资源产出。
ZJ_LATE_01,W03,wave,32,48,sword_pressure,mix,cross_stream,交错穿流入场,zj_late_01_w03_mix,2.45,15,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第3波常规敌潮，承担局内升级与资源产出。
ZJ_LATE_01,W04,wave,48,64,sword_pressure,pre_elite_1,front_pressure,正面持续压入,zj_late_01_w04_pre_elite,2.4,14,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第4波常规敌潮，承担局内升级与资源产出。
ZJ_LATE_01,W05,elite,64,82,sword_pressure,elite_gate_1,front_pressure,第一精英正面压入,zj_late_01_w04_pre_elite,2.35,14,1,elite_zj_late_01_01,,elite_1,WT-LR-02|WT-LR-07|WT-LR-08,第5波精英节点，清场后继续局内升级与三选一。
ZJ_LATE_01,W06,wave,82,98,sword_pressure,after_elite_1,side_compress,左右同步压缩,zj_late_01_w06_after_elite,2.3,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第6波常规敌潮，承担局内升级与资源产出。
ZJ_LATE_01,W07,wave,98,114,sword_pressure,cross,cross_stream,交错穿流入场,zj_late_01_w07_cross,2.25,18,0,,,normal_clear,WT-LR-02|WT-LR-03|WT-LR-04,第7波常规敌潮，承担局内升级与资源产出。
