stageId,stageIndex,显示关卡名,上一关stageId,解锁方式,大境界,阶段,境界索引,主线关卡,战场标题,主题标签,主题说明,普通怪引用,小Boss模板引用,大Boss引用,图鉴普通ID,图鉴BossID,enemyGroupSetId,eliteSetId,bossMechanicId,默认Boss掉落组ID,目标波次数,局内等级上限,升级可选次数,单局时长目标秒,单关总经验,备注
YY_MID_01,11,11.玄冰长阶,YY_EARLY_01,通关上一关自动解锁,元婴,中期,10,玄冰长阶,元婴中境·玄冰长阶,ice_control,寒域凝滞，强调减速、冻结与节奏打断。,玄冰雪魈,踏冰魈将,寒魄雪主,monster_3_normal,monster_3_boss,egs_yy_mid_01,els_yy_mid_01,boss_yy_mid_01,drop_yy_mid_01_boss_clear,20,20,20,360,3594,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
YY_LATE_01,12,12.霜魂禁地,YY_MID_01,通关上一关自动解锁,元婴,后期,11,霜魂禁地,元婴后境·霜魂禁地,ice_control,寒域凝滞，强调减速、冻结与节奏打断。,霜魂妖魈,禁地主魈,寒魄雪主,monster_3_normal,monster_3_boss,egs_yy_late_01,els_yy_late_01,boss_yy_late_01,drop_yy_late_01_boss_clear,20,20,20,360,3953,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
HS_EARLY_01,13,13.雷泽外域,YY_LATE_01,通关上一关自动解锁,化神,初期,12,雷泽外域,化神初境·雷泽外域,thunder_chain,雷弧追锁，强调连锁打击、短时爆发与路线扰动。,雷羽玄鹏,逐雷鹏将,天雷鹏王,monster_4_normal,monster_4_boss,egs_hs_early_01,els_hs_early_01,boss_hs_early_01,drop_hs_early_01_boss_clear,20,20,20,420,3953,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
HS_MID_01,14,14.雷泽心渊,HS_EARLY_01,通关上一关自动解锁,化神,中期,13,雷泽心渊,化神中境·雷泽心渊,thunder_chain,雷弧追锁，强调连锁打击、短时爆发与路线扰动。,裂电玄鹏,雷泽鹏侯,天雷鹏王,monster_4_normal,monster_4_boss,egs_hs_mid_01,els_hs_mid_01,boss_hs_mid_01,drop_hs_mid_01_boss_clear,20,20,20,420,4306,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
HS_LATE_01,15,15.天雷祭坛,HS_MID_01,通关上一关自动解锁,化神,后期,14,天雷祭坛,化神后境·天雷祭坛,thunder_chain,雷弧追锁，强调连锁打击、短时爆发与路线扰动。,祭坛雷鹏,祭坛镇鹏,天雷鹏王,monster_4_normal,monster_4_boss,egs_hs_late_01,els_hs_late_01,boss_hs_late_01,drop_hs_late_01_boss_clear,20,20,20,420,4665,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
LX_EARLY_01,16,16.虚空裂隙,HS_LATE_01,通关上一关自动解锁,炼虚,初期,15,虚空裂隙,炼虚初境·虚空裂隙,void_distort,虚空折返，强调错位刷新、反向包夹与节奏欺骗。,裂隙魔眼,虚窥魔将,空冥主眼,monster_5_normal,monster_5_boss,egs_lx_early_01,els_lx_early_01,boss_lx_early_01,drop_lx_early_01_boss_clear,20,20,20,420,4665,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
LX_MID_01,17,17.折光回廊,LX_EARLY_01,通关上一关自动解锁,炼虚,中期,16,折光回廊,炼虚中境·折光回廊,void_distort,虚空折返，强调错位刷新、反向包夹与节奏欺骗。,折光魔眼,折界瞳将,空冥主眼,monster_5_normal,monster_5_boss,egs_lx_mid_01,els_lx_mid_01,boss_lx_mid_01,drop_lx_mid_01_boss_clear,20,20,20,420,5026,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
LX_LATE_01,18,18.空冥之眼,LX_MID_01,通关上一关自动解锁,炼虚,后期,17,空冥之眼,炼虚后境·空冥之眼,void_distort,虚空折返，强调错位刷新、反向包夹与节奏欺骗。,空冥魔眼,空冥瞳将,空冥主眼,monster_5_normal,monster_5_boss,egs_lx_late_01,els_lx_late_01,boss_lx_late_01,drop_lx_late_01_boss_clear,20,20,20,420,5384,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
HT_EARLY_01,19,19.万灵原野,LX_LATE_01,通关上一关自动解锁,合体,初期,18,万灵原野,合体初境·万灵原野,stone_crush,山压地裂，强调重压、缓慢逼近与空间压扁。,荒原石傀,碎岳石将,归一岩君,monster_6_normal,monster_6_boss,egs_ht_early_01,els_ht_early_01,boss_ht_early_01,drop_ht_early_01_boss_clear,20,20,20,420,5384,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
HT_MID_01,20,20.合元秘径,HT_EARLY_01,通关上一关自动解锁,合体,中期,19,合元秘径,合体中境·合元秘径,stone_crush,山压地裂，强调重压、缓慢逼近与空间压扁。,合元石傀,合元石侯,归一岩君,monster_6_normal,monster_6_boss,egs_ht_mid_01,els_ht_mid_01,boss_ht_mid_01,drop_ht_mid_01_boss_clear,20,20,20,420,5742,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
HT_LATE_01,21,21.归一殿,HT_MID_01,通关上一关自动解锁,合体,后期,20,归一殿,合体后境·归一殿,stone_crush,山压地裂，强调重压、缓慢逼近与空间压扁。,归一石傀,归殿石君,归一岩君,monster_6_normal,monster_6_boss,egs_ht_late_01,els_ht_late_01,boss_ht_late_01,drop_ht_late_01_boss_clear,20,20,20,420,6104,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DC_EARLY_01,22,22.天门外域,HT_LATE_01,通关上一关自动解锁,大乘,初期,21,天门外域,大乘初境·天门外域,celestial_snake,灵蛇缠斗，强调曲线追踪、绕背突刺与持续骚扰。,星阙灵蛇,巡星蛇将,巡天玄螭,monster_7_normal,monster_7_boss,egs_dc_early_01,els_dc_early_01,boss_dc_early_01,drop_dc_early_01_boss_clear,20,20,20,420,6104,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DC_MID_01,23,23.星阙长桥,DC_EARLY_01,通关上一关自动解锁,大乘,中期,22,星阙长桥,大乘中境·星阙长桥,celestial_snake,灵蛇缠斗，强调曲线追踪、绕背突刺与持续骚扰。,桥巡灵蛇,长桥蛇侯,巡天玄螭,monster_7_normal,monster_7_boss,egs_dc_mid_01,els_dc_mid_01,boss_dc_mid_01,drop_dc_mid_01_boss_clear,20,20,20,420,6462,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DC_LATE_01,24,24.天阙神庭,DC_MID_01,通关上一关自动解锁,大乘,后期,23,天阙神庭,大乘后境·天阙神庭,celestial_snake,灵蛇缠斗，强调曲线追踪、绕背突刺与持续骚扰。,神庭灵蛇,神庭玄螭,巡天玄螭,monster_7_normal,monster_7_boss,egs_dc_late_01,els_dc_late_01,boss_dc_late_01,drop_dc_late_01_boss_clear,20,20,20,420,6826,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DJ_EARLY_01,25,25.劫云海口,DC_LATE_01,通关上一关自动解锁,渡劫,初期,24,劫云海口,渡劫初境·劫云海口,tribulation_corpse,劫尸围城，强调尸潮堆压、迟缓推进与死亡区域控制。,劫火尸王,劫雷尸将,天罚尸尊,monster_8_normal,monster_8_boss,egs_dj_early_01,els_dj_early_01,boss_dj_early_01,drop_dj_early_01_boss_clear,20,20,20,420,6826,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DJ_MID_01,26,26.雷光断界,DJ_EARLY_01,通关上一关自动解锁,渡劫,中期,25,雷光断界,渡劫中境·雷光断界,tribulation_corpse,劫尸围城，强调尸潮堆压、迟缓推进与死亡区域控制。,断界尸王,雷断尸侯,天罚尸尊,monster_8_normal,monster_8_boss,egs_dj_mid_01,els_dj_mid_01,boss_dj_mid_01,drop_dj_mid_01_boss_clear,20,20,20,420,7181,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DJ_LATE_01,27,27.天罚祭台,DJ_MID_01,通关上一关自动解锁,渡劫,后期,26,天罚祭台,渡劫后境·天罚祭台,tribulation_corpse,劫尸围城，强调尸潮堆压、迟缓推进与死亡区域控制。,祭台尸王,天罚尸将,天罚尸尊,monster_8_normal,monster_8_boss,egs_dj_late_01,els_dj_late_01,boss_dj_late_01,drop_dj_late_01_boss_clear,20,20,20,420,7539,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
ZX_EARLY_01,28,28.仙庭云径,DJ_LATE_01,通关上一关自动解锁,真仙,初期,27,仙庭云径,真仙初境·仙庭云径,illusion_fox,幻狐迷踪，强调假目标、闪现位移与视线干扰。,云庭幻狐,踏云狐将,九尾云尊,monster_9_normal,monster_9_boss,egs_zx_early_01,els_zx_early_01,boss_zx_early_01,drop_zx_early_01_boss_clear,20,20,20,480,7539,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
ZX_MID_01,29,29.紫微宫门,ZX_EARLY_01,通关上一关自动解锁,真仙,中期,28,紫微宫门,真仙中境·紫微宫门,illusion_fox,幻狐迷踪，强调假目标、闪现位移与视线干扰。,紫微幻狐,宫门狐侯,九尾云尊,monster_9_normal,monster_9_boss,egs_zx_mid_01,els_zx_mid_01,boss_zx_mid_01,drop_zx_mid_01_boss_clear,20,20,20,480,7900,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
ZX_LATE_01,30,30.太清仙阙,ZX_MID_01,通关上一关自动解锁,真仙,后期,29,太清仙阙,真仙后境·太清仙阙,illusion_fox,幻狐迷踪，强调假目标、闪现位移与视线干扰。,太清幻狐,仙阙狐妃,九尾云尊,monster_9_normal,monster_9_boss,egs_zx_late_01,els_zx_late_01,boss_zx_late_01,drop_zx_late_01_boss_clear,20,20,20,480,8259,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
JX_EARLY_01,31,31.金阙天街,ZX_LATE_01,通关上一关自动解锁,金仙,初期,30,金阙天街,金仙初境·金阙天街,solar_crow,金乌灼空，强调高频投射、纵向压制与灼热弹幕。,金乌残灵,曜羽乌将,曜阳乌皇,monster_10_normal,monster_10_boss,egs_jx_early_01,els_jx_early_01,boss_jx_early_01,drop_jx_early_01_boss_clear,20,20,20,480,8259,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
JX_MID_01,32,32.琉璃天廊,JX_EARLY_01,通关上一关自动解锁,金仙,中期,31,琉璃天廊,金仙中境·琉璃天廊,solar_crow,金乌灼空，强调高频投射、纵向压制与灼热弹幕。,琉璃乌灵,天廊乌侯,曜阳乌皇,monster_10_normal,monster_10_boss,egs_jx_mid_01,els_jx_mid_01,boss_jx_mid_01,drop_jx_mid_01_boss_clear,20,20,20,480,8620,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
JX_LATE_01,33,33.金轮法界,JX_MID_01,通关上一关自动解锁,金仙,后期,32,金轮法界,金仙后境·金轮法界,solar_crow,金乌灼空，强调高频投射、纵向压制与灼热弹幕。,金轮乌灵,金轮乌帅,曜阳乌皇,monster_10_normal,monster_10_boss,egs_jx_late_01,els_jx_late_01,boss_jx_late_01,drop_jx_late_01_boss_clear,20,20,20,480,8979,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
TY_EARLY_01,34,34.太乙玄原,JX_LATE_01,通关上一关自动解锁,太乙,初期,33,太乙玄原,太乙初境·太乙玄原,lotus_array,莲阵封界，强调阵点封锁、区域切割与定点爆发。,太乙莲魄,青莲魄将,玄天莲尊,monster_11_normal,monster_11_boss,egs_ty_early_01,els_ty_early_01,boss_ty_early_01,drop_ty_early_01_boss_clear,20,20,20,480,8979,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
TY_MID_01,35,35.万象宫,TY_EARLY_01,通关上一关自动解锁,太乙,中期,34,万象宫,太乙中境·万象宫,lotus_array,莲阵封界，强调阵点封锁、区域切割与定点爆发。,万象莲魄,万象莲侯,玄天莲尊,monster_11_normal,monster_11_boss,egs_ty_mid_01,els_ty_mid_01,boss_ty_mid_01,drop_ty_mid_01_boss_clear,20,20,20,480,9337,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
TY_LATE_01,36,36.玄天法阵,TY_MID_01,通关上一关自动解锁,太乙,后期,35,玄天法阵,太乙后境·玄天法阵,lotus_array,莲阵封界，强调阵点封锁、区域切割与定点爆发。,玄天莲魄,玄阵莲尊,玄天莲尊,monster_11_normal,monster_11_boss,egs_ty_late_01,els_ty_late_01,boss_ty_late_01,drop_ty_late_01_boss_clear,20,20,20,480,9698,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DL_EARLY_01,37,37.大罗界外,TY_LATE_01,通关上一关自动解锁,大罗,初期,36,大罗界外,大罗初境·大罗界外,astral_whale,星鲸吞潮，强调大体型压迫、延迟波次与广域扫荡。,星海古鲸,裂海鲸将,寂灭鲸祖,monster_12_normal,monster_12_boss,egs_dl_early_01,els_dl_early_01,boss_dl_early_01,drop_dl_early_01_boss_clear,20,20,20,480,9698,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DL_MID_01,38,38.寂灭长阶,DL_EARLY_01,通关上一关自动解锁,大罗,中期,37,寂灭长阶,大罗中境·寂灭长阶,astral_whale,星鲸吞潮，强调大体型压迫、延迟波次与广域扫荡。,寂灭古鲸,长阶鲸侯,寂灭鲸祖,monster_12_normal,monster_12_boss,egs_dl_mid_01,els_dl_mid_01,boss_dl_mid_01,drop_dl_mid_01_boss_clear,20,20,20,480,10056,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DL_LATE_01,39,39.无尽道场,DL_MID_01,通关上一关自动解锁,大罗,后期,38,无尽道场,大罗后境·无尽道场,astral_whale,星鲸吞潮，强调大体型压迫、延迟波次与广域扫荡。,道场古鲸,无尽鲸君,寂灭鲸祖,monster_12_normal,monster_12_boss,egs_dl_late_01,els_dl_late_01,boss_dl_late_01,drop_dl_late_01_boss_clear,20,20,20,480,10418,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DZ_EARLY_01,40,40.道祖外庭,DL_LATE_01,通关上一关自动解锁,道祖,初期,39,道祖外庭,道祖初境·道祖外庭,myriad_dragon,万龙巡天，强调多轴威压、召引追击与最终场面控制。,混元古龙,混元龙将,万道龙祖,monster_13_normal,monster_13_boss,egs_dz_early_01,els_dz_early_01,boss_dz_early_01,drop_dz_early_01_boss_clear,20,20,20,480,10418,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DZ_MID_01,41,41.混元大道,DZ_EARLY_01,通关上一关自动解锁,道祖,中期,40,混元大道,道祖中境·混元大道,myriad_dragon,万龙巡天，强调多轴威压、召引追击与最终场面控制。,大道古龙,大道龙侯,万道龙祖,monster_13_normal,monster_13_boss,egs_dz_mid_01,els_dz_mid_01,boss_dz_mid_01,drop_dz_mid_01_boss_clear,20,20,20,480,10776,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
DZ_LATE_01,42,42.万道之心,DZ_MID_01,通关上一关自动解锁,道祖,后期,41,万道之心,道祖后境·万道之心,myriad_dragon,万龙巡天，强调多轴威压、召引追击与最终场面控制。,万道古龙,万道龙君,万道龙祖,monster_13_normal,monster_13_boss,egs_dz_late_01,els_dz_late_01,boss_dz_late_01,drop_dz_late_01_boss_clear,20,20,20,480,11132,当前正式轻肉鸽主表；对标《向僵尸开炮》：20波、20级、20次强化。
