图鉴ID,所属大境界,敌人类型,显示名称,档案标题,出没地点,stageIdScope,enemyIdRef,bossIdRef,eliteIdRef,解锁规则,解锁写回规则,立绘资源Key,排序,是否精英图鉴,mechanicSummary,dropPreviewGroup,妖物简述
monster_5_normal,炼虚,普通怪,裂隙魔眼,虚空裂隙中的窥视者,虚空裂隙 / 折光回廊 / 空冥之眼,LX_EARLY_01|LX_MID_01|LX_LATE_01,lx_early_01_normal|lx_mid_01_normal|lx_late_01_normal,,,首次遭遇炼虚阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_void_common,110,否,裂瞳光束 / 虚蚀冲击,drop_lx_early_01_normal,常以巨眼现身，周围空间会泛起轻微折痕。
monster_5_boss,炼虚,Boss,空冥主眼,深渊尽头的虚空瞳主,炼虚首领层,LX_EARLY_01|LX_MID_01|LX_LATE_01,,lx_early_01_boss|lx_mid_01_boss|lx_late_01_boss,elite_lx_early_01_01|elite_lx_early_01_02|elite_lx_mid_01_01|elite_lx_mid_01_02|elite_lx_late_01_01|elite_lx_late_01_02,首次遭遇炼虚阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_void_boss,120,否,空冥灭照 / 深渊瞳压 / 归虚回瞳,drop_lx_early_01_boss_clear,据说被其注视者，连神魂都会短暂迟滞。
monster_6_normal,合体,普通怪,荒原石傀,由万灵原野碎岩凝成的傀身,万灵原野 / 合元秘径 / 归一殿,HT_EARLY_01|HT_MID_01|HT_LATE_01,ht_early_01_normal|ht_mid_01_normal|ht_late_01_normal,,,首次遭遇合体阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_stone_common,130,否,岩拳 / 碎地砸击,drop_ht_early_01_normal,灵气混杂地脉所生，行动迟缓但躯体沉重。
monster_6_boss,合体,Boss,归一岩君,将百岩炼为一身的石魁首,合体首领层,HT_EARLY_01|HT_MID_01|HT_LATE_01,,ht_early_01_boss|ht_mid_01_boss|ht_late_01_boss,elite_ht_early_01_01|elite_ht_early_01_02|elite_ht_mid_01_01|elite_ht_mid_01_02|elite_ht_late_01_01|elite_ht_late_01_02,首次遭遇合体阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_stone_boss,140,否,归一岩陨 / 山崩镇击 / 吞岩回身,drop_ht_early_01_boss_clear,躯壳如岳，举手落地都似山崩。
monster_7_normal,大乘,普通怪,星阙灵蛇,游走在天门星辉中的灵蛇,天门外域 / 星阙长桥 / 天阙神庭,DC_EARLY_01|DC_MID_01|DC_LATE_01,dc_early_01_normal|dc_mid_01_normal|dc_late_01_normal,,,首次遭遇大乘阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_celestial_common,150,否,星牙突咬 / 流辉绞杀,drop_dc_early_01_normal,借星辉腾挪，身形修长，常在高空俯视来者。
monster_7_boss,大乘,Boss,巡天玄螭,天阙深处的古老巡天兽,大乘首领层,DC_EARLY_01|DC_MID_01|DC_LATE_01,,dc_early_01_boss|dc_mid_01_boss|dc_late_01_boss,elite_dc_early_01_01|elite_dc_early_01_02|elite_dc_mid_01_01|elite_dc_mid_01_02|elite_dc_late_01_01|elite_dc_late_01_02,首次遭遇大乘阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_celestial_boss,160,否,玄螭天落 / 巡天裂穹 / 吞辉回元,drop_dc_early_01_boss_clear,它盘绕云阙而居，目光如寒星垂落。
monster_8_normal,渡劫,普通怪,劫火尸王,在劫云下复苏的尸王,劫云海口 / 雷光断界 / 天罚祭台,DJ_EARLY_01|DJ_MID_01|DJ_LATE_01,dj_early_01_normal|dj_mid_01_normal|dj_late_01_normal,,,首次遭遇渡劫阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_corpse_common,170,否,劫火爪 / 雷尸扑杀号,drop_dj_early_01_normal,每逢雷霆交击，便从焦土之中站起。
monster_8_boss,渡劫,Boss,天罚尸尊,被雷劫淬炼而不灭的尸尊,渡劫首领层,DJ_EARLY_01|DJ_MID_01|DJ_LATE_01,,dj_early_01_boss|dj_mid_01_boss|dj_late_01_boss,elite_dj_early_01_01|elite_dj_early_01_02|elite_dj_mid_01_01|elite_dj_mid_01_02|elite_dj_late_01_01|elite_dj_late_01_02,首次遭遇渡劫阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_corpse_boss,180,否,天罚尸临 / 雷殛坠杀 / 吞劫回尸,drop_dj_early_01_boss_clear,其残躯长期承受天罚，反而孕出异变之力。
monster_9_normal,真仙,普通怪,云庭幻狐,仙庭云径中的幻形妖狐,仙庭云径 / 紫微宫门 / 太清仙阙,ZX_EARLY_01|ZX_MID_01|ZX_LATE_01,zx_early_01_normal|zx_mid_01_normal|zx_late_01_normal,,,首次遭遇真仙阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_fox_common,190,否,幻爪 / 踏云突袭,drop_zx_early_01_normal,善以幻影乱心，真正的身躯往往藏在最后。
monster_9_boss,真仙,Boss,九尾云尊,披云踏月的仙狐之尊,真仙首领层,ZX_EARLY_01|ZX_MID_01|ZX_LATE_01,,zx_early_01_boss|zx_mid_01_boss|zx_late_01_boss,elite_zx_early_01_01|elite_zx_early_01_02|elite_zx_mid_01_01|elite_zx_mid_01_02|elite_zx_late_01_01|elite_zx_late_01_02,首次遭遇真仙阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_fox_boss,200,否,九尾裂月 / 云庭魅杀号 / 吞月回灵,drop_zx_early_01_boss_clear,九尾齐展时，整片云庭都会泛起月色。
monster_10_normal,金仙,普通怪,金乌残灵,坠入金阙的古乌残灵,金阙天街 / 琉璃天廊 / 金轮法界,JX_EARLY_01|JX_MID_01|JX_LATE_01,jx_early_01_normal|jx_mid_01_normal|jx_late_01_normal,,,首次遭遇金仙阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_crow_common,210,否,曜羽穿击 / 残阳坠翼,drop_jx_early_01_normal,羽端仍带残阳之火，振翅会留下灼热金痕。
monster_10_boss,金仙,Boss,曜阳乌皇,守着昔日天火的乌皇,金仙首领层,JX_EARLY_01|JX_MID_01|JX_LATE_01,,jx_early_01_boss|jx_mid_01_boss|jx_late_01_boss,elite_jx_early_01_01|elite_jx_early_01_02|elite_jx_mid_01_01|elite_jx_mid_01_02|elite_jx_late_01_01|elite_jx_late_01_02,首次遭遇金仙阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_crow_boss,220,否,曜阳坠天 / 天火焚轮 / 吞炎回皇,drop_jx_early_01_boss_clear,传闻曾随古日而行，如今只剩一缕天炎未熄。
monster_11_normal,太乙,普通怪,太乙莲魄,法阵中凝出的青莲之魄,太乙玄原 / 万象宫 / 玄天法阵,TY_EARLY_01|TY_MID_01|TY_LATE_01,ty_early_01_normal|ty_mid_01_normal|ty_late_01_normal,,,首次遭遇太乙阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_lotus_common,230,否,莲锋刺 / 青瓣回斩,drop_ty_early_01_normal,看似静止不动，实则每一瓣莲影都暗藏锋芒。
monster_11_boss,太乙,Boss,玄天莲尊,坐镇万象宫的莲尊化影,太乙首领层,TY_EARLY_01|TY_MID_01|TY_LATE_01,,ty_early_01_boss|ty_mid_01_boss|ty_late_01_boss,elite_ty_early_01_01|elite_ty_early_01_02|elite_ty_mid_01_01|elite_ty_mid_01_02|elite_ty_late_01_01|elite_ty_late_01_02,首次遭遇太乙阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_lotus_boss,240,否,玄天莲坠 / 万象归刃 / 聚莲回息,drop_ty_early_01_boss_clear,法阵运转时，它会在莲影中心缓缓睁眼。
monster_12_normal,大罗,普通怪,星海古鲸,漂游在寂灭星海的古鲸,大罗界外 / 寂灭长阶 / 无尽道场,DL_EARLY_01|DL_MID_01|DL_LATE_01,dl_early_01_normal|dl_mid_01_normal|dl_late_01_normal,,,首次遭遇大罗阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_whale_common,250,否,鲸尾横扫 / 星潮冲撞,drop_dl_early_01_normal,其影横渡虚空，像是一整片星海在缓缓游动。
monster_12_boss,大罗,Boss,寂灭鲸祖,深空尽头的古鲸始祖,大罗首领层,DL_EARLY_01|DL_MID_01|DL_LATE_01,,dl_early_01_boss|dl_mid_01_boss|dl_late_01_boss,elite_dl_early_01_01|elite_dl_early_01_02|elite_dl_mid_01_01|elite_dl_mid_01_02|elite_dl_late_01_01|elite_dl_late_01_02,首次遭遇大罗阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_whale_boss,260,否,鲸祖覆海 / 寂灭吞空 / 回潮息身,drop_dl_early_01_boss_clear,巨躯穿行时，四周星光都会被它吞没。
monster_13_normal,道祖,普通怪,混元古龙,万道震荡中诞生的古龙影,道祖外庭 / 混元大道 / 万道之心,DZ_EARLY_01|DZ_MID_01|DZ_LATE_01,dz_early_01_normal|dz_mid_01_normal|dz_late_01_normal,,,首次遭遇道祖阶段普通怪,首次遭遇该大境界普通怪后，立即写入持久图鉴解锁状态。,art_dragon_common,270,否,龙爪裂空 / 混元龙息,drop_dz_early_01_normal,身披混元流光，呼吸间似有万道回响。
monster_13_boss,道祖,Boss,万道龙祖,道场尽头盘踞的龙祖真影,道祖首领层,DZ_EARLY_01|DZ_MID_01|DZ_LATE_01,,dz_early_01_boss|dz_mid_01_boss|dz_late_01_boss,elite_dz_early_01_01|elite_dz_early_01_02|elite_dz_mid_01_01|elite_dz_mid_01_02|elite_dz_late_01_01|elite_dz_late_01_02,首次遭遇道祖阶段首领,首次进入该大境界首领登场过场后，立即写入持久图鉴解锁状态。精英不单独写入一级图鉴，但可作为首领条目的机制补充。,art_dragon_boss,280,否,龙祖临道 / 万道归灭 / 归元回祖,drop_dz_early_01_boss_clear,传闻其一鳞一爪，皆能映出一条完整大道。
