大境界,阶段,关卡,敌人类型,出现位置,敌人名称,档案标题,气血,基础伤害,行动CD,技能1名称,技能1伤害,技能1CD,技能1效果,技能2名称,技能2伤害,技能2CD,技能2效果,技能3名称,技能3伤害,技能3CD,技能3效果,数值备注,当前可解锁神通数,最低通关神通数,最低通关神通组合,组合单次伤害,最低通关气血,最低通关预估秒数,通关结果说明,修为经验奖励
炼气,初期,野狼谷外围,普通怪,普通战斗层,灰鬃狼妖,山谷边缘游荡的狼妖,120,37,1.68,裂爪,37,1.6,,扑杀号,44,2.0,,,,,,基准值=60; hp系数=2; dmg系数=0.62,1,1,归元指,归元指:120,100,0.0,按当前正式战斗口径可稳定通关,55
化神,初期,雷泽外域,普通怪,普通战斗层,雷羽玄鹏,在雷泽边缘俯冲的异鹏,440,136,1.56,雷喙突袭,147,1.72,,电羽俯斩,174,2.12,,,,,,基准值=220; hp系数=2; dmg系数=0.62,5,2,回元术 / 玄雷诀,回元术:82 / 玄雷诀:195,280,2.74,按当前正式战斗口径可稳定通关,202
化神,初期,雷泽外域,小Boss,第5层,逐雷鹏将,率群盘旋的雷羽鹏将,858,216,1.4,惊雷俯冲,294,2.02,,雷泽裂翼,346,2.55,,,,,,基准值=220; hp系数=3.9; dmg系数=0.98,5,3,焚心焰 / 回元术 / 玄雷诀,焚心焰:162 / 回元术:82 / 玄雷诀:195,825,3.65,按当前正式战斗口径可稳定通关,663
化神,初期,雷泽外域,大Boss,第10层,天雷鹏王,掌驭雷霆的泽域霸主,1386,304,1.3,天雷坠翼,456,2.36,,雷泽震空,553,3.02,,吞雷回鸣,298,3.8,回复气血,基准值=220; hp系数=6.3; dmg系数=1.38,5,3,焚心焰 / 回元术 / 玄雷诀,焚心焰:162 / 回元术:82 / 玄雷诀:195,2513,10.03,按当前正式战斗口径可稳定通关,1674
化神,中期,雷泽心渊,普通怪,普通战斗层,裂电玄鹏,心渊之中振翅生电的玄鹏,480,149,1.54,雷喙突袭,161,1.72,,电羽俯斩,191,2.12,,,,,,基准值=240; hp系数=2; dmg系数=0.62,5,2,回元术 / 玄雷诀,回元术:82 / 玄雷诀:195,310,2.74,按当前正式战斗口径可稳定通关,220
化神,中期,雷泽心渊,小Boss,第5层,雷泽鹏侯,雷泽心渊中的鹏侯,936,235,1.38,惊雷俯冲,320,2.02,,雷泽裂翼,376,2.55,,,,,,基准值=240; hp系数=3.9; dmg系数=0.98,5,3,焚心焰 / 回元术 / 玄雷诀,焚心焰:162 / 回元术:82 / 玄雷诀:195,1030,3.65,按当前正式战斗口径可稳定通关,722
化神,中期,雷泽心渊,大Boss,第10层,天雷鹏王,雷泽最深处的天雷之王,1512,331,1.28,天雷坠翼,496,2.36,,雷泽震空,602,3.02,,吞雷回鸣,324,3.8,回复气血,基准值=240; hp系数=6.3; dmg系数=1.38,5,3,焚心焰 / 回元术 / 玄雷诀,焚心焰:162 / 回元术:82 / 玄雷诀:195,2759,10.95,按当前正式战斗口径可稳定通关,1824
化神,后期,天雷祭坛,普通怪,普通战斗层,祭坛雷鹏,祭坛附近最狂暴的雷鹏,520,161,1.52,雷喙突袭,174,1.72,,电羽俯斩,206,2.12,,,,,,基准值=260; hp系数=2; dmg系数=0.62,5,2,回元术 / 玄雷诀,回元术:82 / 玄雷诀:195,381,2.74,按当前正式战斗口径可稳定通关,238
化神,后期,天雷祭坛,小Boss,第5层,祭坛镇鹏,镇守祭坛前沿的雷鹏首,1014,255,1.36,惊雷俯冲,347,2.02,,雷泽裂翼,408,2.55,,,,,,基准值=260; hp系数=3.9; dmg系数=0.98,5,3,焚心焰 / 回元术 / 玄雷诀,焚心焰:162 / 回元术:82 / 玄雷诀:195,1337,4.56,按当前正式战斗口径可稳定通关,783
化神,后期,天雷祭坛,大Boss,第10层,天雷鹏王,受祭坛加持的雷鹏王,1638,359,1.26,天雷坠翼,538,2.36,,雷泽震空,653,3.02,,吞雷回鸣,352,3.8,回复气血,基准值=260; hp系数=6.3; dmg系数=1.38,5,3,焚心焰 / 回元术 / 玄雷诀,焚心焰:162 / 回元术:82 / 玄雷诀:195,3053,10.95,按当前正式战斗口径可稳定通关,1978
炼虚,初期,虚空裂隙,普通怪,普通战斗层,裂隙魔眼,自裂隙中张开的巨眼,520,161,1.53,裂瞳光束,177,1.8,,虚蚀冲击,209,2.2,,,,,,基准值=260; hp系数=2; dmg系数=0.62,6,2,玄雷诀 / 寂灭印,玄雷诀:195 / 寂灭印:220,337,2.74,按当前正式战斗口径可稳定通关,238
炼虚,初期,虚空裂隙,小Boss,第5层,虚窥魔将,能撕裂视线的魔眼将,1014,255,1.37,折界凝视,357,2.08,,虚空震裂,418,2.62,,,,,,基准值=260; hp系数=3.9; dmg系数=0.98,6,3,回元术 / 玄雷诀 / 寂灭印,回元术:82 / 玄雷诀:195 / 寂灭印:220,1133,3.65,按当前正式战斗口径可稳定通关,783
炼虚,初期,虚空裂隙,大Boss,第10层,空冥主眼,深渊尽头的虚空瞳主,1638,359,1.27,空冥灭照,553,2.42,,深渊瞳压,668,3.08,,归虚回瞳,359,3.95,回复气血,基准值=260; hp系数=6.3; dmg系数=1.38,6,3,回元术 / 玄雷诀 / 寂灭印,回元术:82 / 玄雷诀:195 / 寂灭印:220,2970,10.03,按当前正式战斗口径可稳定通关,1978
炼虚,中期,折光回廊,普通怪,普通战斗层,折光魔眼,在折光回廊游移的瞳魔,560,174,1.51,裂瞳光束,191,1.8,,虚蚀冲击,226,2.2,,,,,,基准值=280; hp系数=2; dmg系数=0.62,6,2,玄雷诀 / 寂灭印,玄雷诀:195 / 寂灭印:220,370,2.74,按当前正式战斗口径可稳定通关,257
炼虚,中期,折光回廊,小Boss,第5层,折界瞳将,操纵折界之力的瞳将,1092,274,1.35,折界凝视,384,2.08,,虚空震裂,449,2.62,,,,,,基准值=280; hp系数=3.9; dmg系数=0.98,6,3,回元术 / 玄雷诀 / 寂灭印,回元术:82 / 玄雷诀:195 / 寂灭印:220,1234,3.65,按当前正式战斗口径可稳定通关,842
炼虚,中期,折光回廊,大Boss,第10层,空冥主眼,折光最深处的主眼,1764,386,1.25,空冥灭照,594,2.42,,深渊瞳压,718,3.08,,归虚回瞳,386,3.95,回复气血,基准值=280; hp系数=6.3; dmg系数=1.38,6,3,回元术 / 玄雷诀 / 寂灭印,回元术:82 / 玄雷诀:195 / 寂灭印:220,3678,10.95,按当前正式战斗口径可稳定通关,2128
炼虚,后期,空冥之眼,普通怪,普通战斗层,空冥魔眼,空冥之眼附近最危险的窥视者,600,186,1.49,裂瞳光束,205,1.8,,虚蚀冲击,242,2.2,,,,,,基准值=300; hp系数=2; dmg系数=0.62,6,2,玄雷诀 / 寂灭印,玄雷诀:195 / 寂灭印:220,448,2.74,按当前正式战斗口径可稳定通关,275
炼虚,后期,空冥之眼,小Boss,第5层,空冥瞳将,守在空冥核心的瞳将,1170,294,1.33,折界凝视,412,2.08,,虚空震裂,482,2.62,,,,,,基准值=300; hp系数=3.9; dmg系数=0.98,6,3,回元术 / 玄雷诀 / 寂灭印,回元术:82 / 玄雷诀:195 / 寂灭印:220,1587,4.56,按当前正式战斗口径可稳定通关,902
炼虚,后期,空冥之眼,大Boss,第10层,空冥主眼,空冥之眼真正的统御者,1890,414,1.23,空冥灭照,638,2.42,,深渊瞳压,770,3.08,,归虚回瞳,414,3.95,回复气血,基准值=300; hp系数=6.3; dmg系数=1.38,6,3,回元术 / 玄雷诀 / 寂灭印,回元术:82 / 玄雷诀:195 / 寂灭印:220,3976,11.86,按当前正式战斗口径可稳定通关,2282
合体,初期,万灵原野,普通怪,普通战斗层,荒原石傀,万灵原野中沉重的石傀,600,186,1.5,岩拳,208,1.85,,碎地砸击,246,2.25,,,,,,基准值=300; hp系数=2; dmg系数=0.62,7,2,寂灭印 / 九霄雷狱,寂灭印:220 / 九霄雷狱:245,455,2.74,按当前正式战斗口径可稳定通关,275
合体,初期,万灵原野,小Boss,第5层,碎岳石将,能震裂地面的石将,1170,294,1.34,坠岳重踏,417,2.12,,归元震裂,494,2.68,,,,,,基准值=300; hp系数=3.9; dmg系数=0.98,7,3,玄雷诀 / 寂灭印 / 九霄雷狱,玄雷诀:195 / 寂灭印:220 / 九霄雷狱:245,1345,3.65,按当前正式战斗口径可稳定通关,902
合体,初期,万灵原野,大Boss,第10层,归一岩君,将百岩炼为一身的石魁首,1890,414,1.24,归一岩陨,654,2.48,,山崩镇击,787,3.12,,吞岩回身,422,4.0,回复气血,基准值=300; hp系数=6.3; dmg系数=1.38,7,3,玄雷诀 / 寂灭印 / 九霄雷狱,玄雷诀:195 / 寂灭印:220 / 九霄雷狱:245,3951,9.12,按当前正式战斗口径可稳定通关,2282
合体,中期,合元秘径,普通怪,普通战斗层,合元石傀,秘径地脉凝聚的石傀,640,198,1.48,岩拳,222,1.85,,碎地砸击,261,2.25,,,,,,基准值=320; hp系数=2; dmg系数=0.62,7,2,寂灭印 / 九霄雷狱,寂灭印:220 / 九霄雷狱:245,484,2.74,按当前正式战斗口径可稳定通关,293
合体,中期,合元秘径,小Boss,第5层,合元石侯,秘径中心的石侯,1248,314,1.32,坠岳重踏,446,2.12,,归元震裂,528,2.68,,,,,,基准值=320; hp系数=3.9; dmg系数=0.98,7,3,玄雷诀 / 寂灭印 / 九霄雷狱,玄雷诀:195 / 寂灭印:220 / 九霄雷狱:245,1639,4.56,按当前正式战斗口径可稳定通关,963
合体,中期,合元秘径,大Boss,第10层,归一岩君,合元秘径最终的岩君,2016,442,1.22,归一岩陨,698,2.48,,山崩镇击,840,3.12,,吞岩回身,451,4.0,回复气血,基准值=320; hp系数=6.3; dmg系数=1.38,7,3,玄雷诀 / 寂灭印 / 九霄雷狱,玄雷诀:195 / 寂灭印:220 / 九霄雷狱:245,4373,11.86,按当前正式战斗口径可稳定通关,2435
合体,后期,归一殿,普通怪,普通战斗层,归一石傀,归一殿外最古老的石傀,680,211,1.46,岩拳,236,1.85,,碎地砸击,279,2.25,,,,,,基准值=340; hp系数=2; dmg系数=0.62,7,3,玄雷诀 / 寂灭印 / 九霄雷狱,玄雷诀:195 / 寂灭印:220 / 九霄雷狱:245,516,2.74,按当前正式战斗口径可稳定通关,312
合体,后期,归一殿,小Boss,第5层,归殿石君,归一殿前的岩甲守将,1326,333,1.3,坠岳重踏,473,2.12,,归元震裂,559,2.68,,,,,,基准值=340; hp系数=3.9; dmg系数=0.98,7,3,玄雷诀 / 寂灭印 / 九霄雷狱,玄雷诀:195 / 寂灭印:220 / 九霄雷狱:245,1761,4.56,按当前正式战斗口径可稳定通关,1022
合体,后期,归一殿,大Boss,第10层,归一岩君,归一殿中真正的岩道之君,2142,469,1.2,归一岩陨,741,2.48,,山崩镇击,891,3.12,,吞岩回身,478,4.0,回复气血,基准值=340; hp系数=6.3; dmg系数=1.38,7,3,玄雷诀 / 寂灭印 / 九霄雷狱,玄雷诀:195 / 寂灭印:220 / 九霄雷狱:245,4700,11.86,按当前正式战斗口径可稳定通关,2586
大乘,初期,天门外域,普通怪,普通战斗层,星阙灵蛇,借星辉腾挪的灵蛇,680,211,1.47,星牙突咬,241,1.86,,流辉绞杀,283,2.26,,,,,,基准值=340; hp系数=2; dmg系数=0.62,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,525,1.82,按当前正式战斗口径可稳定通关,312
大乘,初期,天门外域,小Boss,第5层,巡星蛇将,引导星辉的蛇将,1326,333,1.31,巡天扑咬,480,2.14,,星桥镇尾,566,2.7,,,,,,基准值=340; hp系数=3.9; dmg系数=0.98,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,1562,3.65,按当前正式战斗口径可稳定通关,1022
大乘,初期,天门外域,大Boss,第10层,巡天玄螭,天阙深处的古老巡天兽,2142,469,1.21,玄螭天落,750,2.5,,巡天裂穹,910,3.16,,吞辉回元,488,4.05,回复气血,基准值=340; hp系数=6.3; dmg系数=1.38,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,3590,19.16,按当前正式战斗口径可稳定通关,2586
大乘,中期,星阙长桥,普通怪,普通战斗层,桥巡灵蛇,巡游长桥的天蛇,720,223,1.45,星牙突咬,254,1.86,,流辉绞杀,299,2.26,,,,,,基准值=360; hp系数=2; dmg系数=0.62,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,554,1.82,按当前正式战斗口径可稳定通关,330
大乘,中期,星阙长桥,小Boss,第5层,长桥蛇侯,长桥中心的蛇侯,1404,353,1.29,巡天扑咬,508,2.14,,星桥镇尾,600,2.7,,,,,,基准值=360; hp系数=3.9; dmg系数=0.98,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,1792,4.56,按当前正式战斗口径可稳定通关,1083
大乘,中期,星阙长桥,大Boss,第10层,巡天玄螭,星阙长桥尽头的玄螭,2268,497,1.19,玄螭天落,795,2.5,,巡天裂穹,964,3.16,,吞辉回元,517,4.05,回复气血,基准值=360; hp系数=6.3; dmg系数=1.38,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,3938,20.98,按当前正式战斗口径可稳定通关,2739
大乘,后期,天阙神庭,普通怪,普通战斗层,神庭灵蛇,盘踞神庭边缘的灵蛇,760,236,1.43,星牙突咬,269,1.86,,流辉绞杀,316,2.26,,,,,,基准值=380; hp系数=2; dmg系数=0.62,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,586,2.74,按当前正式战斗口径可稳定通关,349
大乘,后期,天阙神庭,小Boss,第5层,神庭玄螭,接近玄螭血脉的天蛇,1482,372,1.27,巡天扑咬,536,2.14,,星桥镇尾,632,2.7,,,,,,基准值=380; hp系数=3.9; dmg系数=0.98,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,1910,4.56,按当前正式战斗口径可稳定通关,1144
大乘,后期,天阙神庭,大Boss,第10层,巡天玄螭,神庭上空盘踞的巡天玄螭,2394,524,1.17,玄螭天落,838,2.5,,巡天裂穹,1017,3.16,,吞辉回元,545,4.05,回复气血,基准值=380; hp系数=6.3; dmg系数=1.38,8,3,寂灭印 / 九霄雷狱 / 万劫斩,寂灭印:220 / 九霄雷狱:245 / 万劫斩:270,4385,27.36,按当前正式战斗口径可稳定通关,2890
